run_id,lineAvailability,unplannedDowntimeCount,unplannedDowntimeMinutes,avgCycleMinutes,changeoverEventCount,wipPeak,rippleEffectMinutes,failurePredictionLeadTime,maintenanceCost,plannedMaintMinutes,completedCount
568,0.998550,6,1315.57,62.5323,133,85,4.34,0.8671,80102.57,8650.14,981
569,1.000000,0,0.00,64.7113,165,107,0.00,25.1978,28820.59,11528.24,968
570,1.000000,0,0.00,63.9571,140,98,0.00,0.0000,28837.53,11535.01,940
571,1.000000,0,0.00,63.5855,131,102,0.00,0.0000,28834.74,11533.90,934
572,1.000000,0,0.00,64.5585,151,113,0.00,0.0000,28826.79,11530.71,945
573,1.000000,0,0.00,63.5473,134,91,0.00,0.0000,28834.21,11533.69,930
574,1.000000,0,0.00,61.6310,98,66,0.00,25.5906,21620.35,8648.14,896
575,1.000000,0,0.00,66.0265,166,126,0.00,9.9878,28824.97,11529.99,967
576,1.000000,0,0.00,65.1012,165,117,0.00,0.0000,28819.72,11527.89,946
577,1.000000,0,0.00,64.4915,150,98,0.00,0.0000,28840.28,11536.11,937
578,1.000000,0,0.00,63.5676,139,85,0.00,0.0000,28822.26,11528.90,985
579,1.000000,0,0.00,63.5915,143,106,0.00,62.3080,28834.67,11533.87,943
580,1.000000,0,0.00,64.1583,139,99,0.00,0.0000,28831.70,11532.68,934
581,1.000000,0,0.00,66.1104,172,129,0.00,0.0000,28839.30,11535.72,951
582,1.000000,0,0.00,66.1013,185,125,0.00,0.0000,28818.47,11527.39,934
583,1.000000,0,0.00,64.9059,167,123,0.00,0.0000,28820.48,11528.19,934
584,1.000000,0,0.00,65.3104,147,113,0.00,0.0000,28831.29,11532.52,966
585,1.000000,0,0.00,63.7980,135,89,0.00,0.0000,21621.29,8648.52,929
586,1.000000,0,0.00,62.5106,115,80,0.00,0.0000,28822.52,11529.01,957
587,1.000000,0,0.00,65.1012,158,118,0.00,0.0000,28826.08,11530.43,953
588,1.000000,0,0.00,64.6546,159,111,0.00,0.0000,28815.84,11526.34,936
589,1.000000,0,0.00,66.4421,166,129,0.00,0.0000,28832.49,11533.00,933
590,1.000000,0,0.00,62.5059,129,84,0.00,0.0000,28820.16,11528.06,959
591,1.000000,0,0.00,64.9415,158,116,0.00,0.0000,28828.43,11531.37,941
592,1.000000,0,0.00,64.0185,150,110,0.00,0.0000,28835.35,11534.14,953
593,1.000000,0,0.00,63.2324,131,101,0.00,0.0000,28820.48,11528.19,929
594,1.000000,0,0.00,63.2715,137,99,0.00,0.0000,28820.24,11528.10,934
595,1.000000,0,0.00,65.2636,173,126,0.00,0.0000,28820.14,11528.06,936
596,1.000000,0,0.00,64.4209,178,125,0.00,20.1279,28838.25,11535.30,992
